id	title	link	price	description	condition	gtin	brand	mpn	image_link	product_type	availability	quantity	shipping	TVA	feature	online_only	manufacturer	expiration_date	shipping_weight	genre	featured_product	color	size	year	author	edition
553-594	 eau floral de fleur d'oranger [melvita] volume - 200 ml	http://www.lilibio.com/tonique/553-eau-floral-de-fleur-d-oranger.html	9.9	Pour les peaux réactives.	new				http://www.lilibio.com/img/p/553-683-large.jpg	Visage>Tonique et eau florale	in stock	2	:::5.9			y	Melvita		0		n					
554-595	 eau floral de bleuet spray [melvita] volume - 200 ml	http://www.lilibio.com/tonique/554-eau-floral-de-bleuet-spray.html	8.9	Apaisante et décongestionnante.	new				http://www.lilibio.com/img/p/554-684-large.jpg	Visage>Tonique et eau florale	in stock	6	:::5.9			y	Melvita		0		n					
555-596	 eau floral de camomille spray [melvita] volume - 200 ml	http://www.lilibio.com/tonique/555-eau-floral-de-camomille-spray.html	8.9	Pour les peaux sèches et sensibles.	new				http://www.lilibio.com/img/p/555-685-large.jpg	Visage>Tonique et eau florale	in stock	5	:::5.9			y	Melvita		0		n					
556-597	 eau floral d'hamamélis spray [melvita] volume - 200 ml	http://www.lilibio.com/tonique/556-eau-floral-d-hamamelis-spray.html	8.9	Pour les peaux sensibles.	new				http://www.lilibio.com/img/p/556-686-large.jpg	Visage>Tonique et eau florale	in stock	2	:::5.9			y	Melvita		0		n					
557-598	 eau floral de rose spray [melvita] volume - 200 ml	http://www.lilibio.com/tonique/557-eau-floral-de-rose-spray.html	10.9	Pour les peaux délicates et exigeantes.	new				http://www.lilibio.com/img/p/557-687-large.jpg	Visage>Tonique et eau florale	in stock	5	:::5.9			y	Melvita		0		n					
558-599	 eau florale de lavande spray [melvita] volume - 200 ml	http://www.lilibio.com/tonique/558-eau-florale-de-lavande-spray.html	7.9	Eau purifiante des peaux normales à grasses.	new				http://www.lilibio.com/img/p/558-688-large.jpg	Visage>Tonique et eau florale	in stock	3	:::5.9			y	Melvita		0		n					
625-667	 lotion tonique matifiante [melvita] volume - 200 ml	http://www.lilibio.com/tonique/625-lotion-tonique-matifiante.html	11.9	 Bouleau, riz, menthe poivrée - Lotion astringente et matifiante des peaux jeunes.	new				http://www.lilibio.com/img/p/625-767-large.jpg	Visage>Tonique et eau florale	in stock	5	:::5.9			y	Melvita		0		n					
738-755	 lotion apaisante apicosma [melvita] volume - 200 ml	http://www.lilibio.com/tonique/738-lotion-apaisante-apicosma.html	9.9	 Oranger, pollen, aloe vera -                         Peaux sensibles et délicates.	new				http://www.lilibio.com/img/p/738-886-large.jpg	Visage>Tonique et eau florale	in stock	4	:::5.9			y	Melvita		0		n					
739-756	 lotion hydratante apicosma [melvita] volume - 200 ml	http://www.lilibio.com/tonique/739-lotion-hydratante-apicosma.html	9.9	 Eau de rose, miel, stévia -                         Peaux sèches.	new				http://www.lilibio.com/img/p/739-887-large.jpg	Visage>Tonique et eau florale	in stock	5	:::5.9			y	Melvita		0		n					
42-75	 nuage céleste [cattier] volume - 150 ml	http://www.lilibio.com/nettoyant/42-nuage-celeste.html	8.9	Une mousse douce et aérienne pour un nettoyage en profondeur…	new				http://www.lilibio.com/img/p/42-86-large.jpg	Visage>Nettoyant	in stock	5	:::5.9			y	Cattier		0		n					
229-284	 huile moussante douceur visage [florame] volume - 150 ml	http://www.lilibio.com/nettoyant/229-huile-moussante-douceur-visage.html	15.9	Nettoie tout en preservant votre peau du vieillissement accéléré.	new				http://www.lilibio.com/img/p/229-332-large.jpg	Visage>Nettoyant	in stock	6	:::5.9			y	Florame		0		n					
428-470	 mousse pureté [phytonature] volume - 150 ml	http://www.lilibio.com/nettoyant/428-mousse-purete.html	10.9	La Mousse Pureté visage et yeux adoucit votre épiderme et équilibre votre peau efficacement tout en la nettoyant.	new				http://www.lilibio.com/img/p/428-548-large.jpg	Visage>Nettoyant	in stock	1	:::5.9			y	Phytonature		0.15		n					
624-666	 gel moussant nettoyant [melvita] volume - 200 ml	http://www.lilibio.com/nettoyant/624-gel-moussant-nettoyant.html	12.9	 Bouleau, lavande, zinc - Le geste nettoyant et purifiant des peaux jeunes.	new				http://www.lilibio.com/img/p/624-766-large.jpg	Visage>Nettoyant	in stock	2	:::5.9			y	Melvita		0		n					
643-685	 gel nettoyant visage [marilou bio] volume - 75 ml	http://www.lilibio.com/nettoyant/643-gel-nettoyant-visage.html	3.9	Une peau propre en un seul geste.	new				http://www.lilibio.com/img/p/643-785-large.jpg	Visage>Nettoyant	in stock	6	:::5.9			y	Marilou bio		0		n					
