id;title;link;price;description;condition;ean;brand;mpn;image_link;product_type;availability;quantity;shipping;TVA;feature;online_only;manufacturer;expiration_date;shipping_weight;genre;featured_product;color;size;year;author;edition;google_product_category
987-1073;eau florale de rose spray [florame] volume - 200 ml;http://www.lilibio.com/tonique/987-eau-florale-de-rose-florame-.html;10.2;L'eau florale de Rose de Florame est un excellent soin des peaux délicates et exigeantes. L'action circulatoire de la rose, offre à la peau un teint lumineux.;new;3516170003217;Florame;;http://www.lilibio.com/img/p/987-1272-large.jpg;Visage>Tonique et eau florale;in stock;2;:::5.9;;;y;Florame;;0;;n;;;;;;
989-1075;eau florale d'hélichryse italienne spray [florame] volume - 200 ml;http://www.lilibio.com/tonique/989-eau-florale-d-helichryse-italienne-spary-florame-.html;9.4;L'eau florame d'Hélichryse Italienne de Florame est le soin répérateur des peaux sensibles ou iirritées. Anti-inflammatoire et apaisante cette eau est issue de la Fleur d'immortelle.;new;3516170018815;Florame;;http://www.lilibio.com/img/p/989-1274-large.jpg;Visage>Tonique et eau florale;in stock;1;:::5.9;;;y;Florame;;0;;n;;;;;;
42-75; mousse nettoyante nuage céleste   [cattier] volume - 150 ml;http://www.lilibio.com/nettoyant/42-nuage-celeste.html;9.9;Une mousse douce et aérienne pour un nettoyage en profondeur… Toute la douceur des eaux florales de rose et de bleuet.;new;3283950911511;Cattier;;http://www.lilibio.com/img/p/42-86-large.jpg;Visage>Nettoyant;in stock;5;:::5.9;;;y;Cattier;;0;;n;;;;;;
229-284; huile moussante douceur visage dermastress [florame] volume - 150 ml;http://www.lilibio.com/nettoyant/229-huile-moussante-douceur-visage.html;15.9;Nettoie tout en preservant votre peau du vieillissement accéléré.   Le   complexe derma-stress riche en huiles essentielles et végétales,   protège nourrit et combat contre les agressions exterieures et les   signes de l'âge.;new;3516170016866;Florame;;http://www.lilibio.com/img/p/229-332-large.jpg;Visage>Nettoyant;in stock;5;:::5.9;;;y;Florame;;0;;n;;;;;;
428-470; mousse pureté   [plante system] volume - 150 ml;http://www.lilibio.com/nettoyant/428-mousse-purete.html;10.9;La mousse pureté visage et yeux adoucit votre épiderme et équilibre votre peau efficacement tout en la nettoyant. Ce soin quotidien sans savon est aux extraits de babassu et huiles essentielles de verveine et orange.;new;3578830149468;Plante system;;http://www.lilibio.com/img/p/428-548-large.jpg;Visage>Nettoyant;in stock;3;:::5.9;;;y;Plante system;;0.15;;n;;;;;;
435-478; lait nettoyant à l'amande [weleda] volume - 75 ml;http://www.lilibio.com/nettoyant/435-lait-nettoyant-a-l-amande.html;6.8;Ce Lait nettoyant Visage à l'Amande de WELEDA, sans huiles essentielles,  élimine les impuretés et le maquillage tout en respectant l’épiderme  fragile des peaux sensibles ou réactives.;new;3596209532635;Weleda;;http://www.lilibio.com/img/p/435-555-large.jpg;Visage>Nettoyant;in stock;3;:::5.9;;;y;Weleda;;0;;n;;;;;;
643-685; gel nettoyant visage   [marilou bio] volume - 75 ml;http://www.lilibio.com/nettoyant/643-gel-nettoyant-visage.html;3.9;Une peau propre en un seul geste. Formulé à base d'eau florale de bleuet pour son action apaisante et decongestionnante.;new;3760143830618;Marilou bio;;http://www.lilibio.com/img/p/643-785-large.jpg;Visage>Nettoyant;in stock;1;:::5.9;;;y;Marilou bio;;0;;n;;;;;;
665-693; mousse nettoyante anti-pollution  [melvita] volume - 50 ml;http://www.lilibio.com/nettoyant/665-mousse-nettoyante.html;11.9; Complexe anti-pollution inédit pour cette mousse nettoyante. Du cassis pour protéger et de l'anis pour purifier.;new;3284410014179;Melvita;;http://www.lilibio.com/img/p/665-811-large.jpg;Visage>Nettoyant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
884-973; gel dermo-nettoyant visage à l'eau thermale de jonzac   [jonzac] vol;http://www.lilibio.com/nettoyant/884-gel-dermo-nettoyant-a-l-eau-thermale-de-jonzac.html;7.9;Nettoie et élimine les impuretés. Adapté aux peaux les plus sensibles, normales à mixtes. Hypoallergénique et sans savon.;new;3517360001464;Jonzac;;http://www.lilibio.com/img/p/884-1144-large.jpg;Visage>Nettoyant;in stock;5;:::5.9;;;y;Jonzac;;0;;n;;;;;;
14-723; aube d'été fluide jour lumineux  [les douces angevines] volume - 15;http://www.lilibio.com/creme-hydratante/14-aube-d-ete.html;25.8;Fluide de jour lumineux pour les peaux normales et mixtes. Les huiles de jojoba et de bourrache pour hydrater et les huiles essentielles d'ylang ylang et géranuim pour purifier. Laissez-vous séduir par l'efficacité des cosméto-fluides.;new;3555960000234;Les douces angevines;;http://www.lilibio.com/img/p/14-54-large.jpg;Visage>Soin hydratant;in stock;3;:::5.9;;;y;Les douces angevines;;0;;n;;;;;;
