categorie|identifiant_unique|titre|description|prix|URL_produit|URL_image|frais_de_port|disponibilite|delai_de_livraison|garantie|reference_modele|D3E|marque|EAN|prix_barre|devise|occasion|type_promotion|URL_mobile
Visage>Nettoyant|42-75| Nuage céleste   [Cattier] Volume - 150 mL|Une mousse douce et aérienne pour un nettoyage en profondeur…|9.9|http://www.lilibio.com/nettoyant/42-nuage-celeste.html|http://www.lilibio.com/img/p/42-86-large.jpg|5.9|0|1 jour|0||0.00|Cattier|3283950911511||EUR|0|0|
Visage>Nettoyant|229-284| Huile moussante douceur visage   [Florame] Volume - 150 mL|Nettoie tout en preservant votre peau du vieillissement accéléré.|15.9|http://www.lilibio.com/nettoyant/229-huile-moussante-douceur-visage.html|http://www.lilibio.com/img/p/229-332-large.jpg|5.9|0|1 jour|0||0.00|Florame|3516170016866||EUR|0|0|
Visage>Nettoyant|428-470| Mousse pureté   [Plante system] Volume - 150 mL|La Mousse Pureté visage et yeux adoucit votre épiderme et équilibre votre peau efficacement tout en la nettoyant.|10.9|http://www.lilibio.com/nettoyant/428-mousse-purete.html|http://www.lilibio.com/img/p/428-548-large.jpg|5.9|0|1 jour|0||0.00|Plante system|3578830149468||EUR|0|0|
Visage>Nettoyant|624-666| Gel moussant nettoyant   [Melvita] Volume - 200 mL| Le geste nettoyant et purifiant des peaux jeunes. Soin doux et assainissant avec du lactate de zinc et de l'huile essentielle de lavande.|12.9|http://www.lilibio.com/nettoyant/624-gel-moussant-nettoyant.html|http://www.lilibio.com/img/p/624-766-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410014513||EUR|0|0|
Visage>Nettoyant|643-685| Gel nettoyant visage   [Marilou bio] Volume - 75 mL|Une peau propre en un seul geste.|3.9|http://www.lilibio.com/nettoyant/643-gel-nettoyant-visage.html|http://www.lilibio.com/img/p/643-785-large.jpg|5.9|0|1 jour|0||0.00|Marilou bio|3760143830618||EUR|0|0|
Visage>Nettoyant|665-693| Mousse nettoyante   [Melvita] Volume - 50 mL| Complexe anti-pollution inédit pour cette mousse nettoyante. Du cassis pour protéger et de l'anis pour purifier.|11.9|http://www.lilibio.com/nettoyant/665-mousse-nettoyante.html|http://www.lilibio.com/img/p/665-811-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410014179||EUR|0|0|
Visage>Nettoyant|884-973| Gel dermo-nettoyant à l'Eau thermale de Jonzac   [Jonzac] Volume - 200 mL|Nettoie et élimine les impuretés. Adapté aux peaux les plus sensibles, normales à mixtes.|7.9|http://www.lilibio.com/nettoyant/884-gel-dermo-nettoyant-a-l-eau-thermale-de-jonzac.html|http://www.lilibio.com/img/p/884-1144-large.jpg|5.9|0|1 jour|0||0.00|Jonzac|3517360001464||EUR|0|0|
Visage>Soin hydratant|14-723| Aube d'été   [Les douces angevines] Volume - 15 mL|Fluide de jour lumineux pour les peaux normales et mixtes. Les huiles de jojoba et de bourrache pour hydrater et les huiles essentielles d'ylang ylang et géranuim pour purifier. Laissez-vous séduir par l'efficacité des cosméto-fluides.|25.8|http://www.lilibio.com/creme-hydratante/14-aube-d-ete.html|http://www.lilibio.com/img/p/14-54-large.jpg|5.9|0|1 jour|0||0.00|Les douces angevines|3555960000234||EUR|0|0|
Visage>Soin hydratant|43-76| Elixir végétal   [Cattier] Volume - 50 mL|Crème de jour hydratanteVéritable soin douceur des peaux normales à mixtes, la crème Elixir Végétal purifie et nourrit votre peau.|17.9|http://www.lilibio.com/creme-hydratante/43-elixir-vegetal.html|http://www.lilibio.com/img/p/43-83-large.jpg|5.9|0|1 jour|0||0.00|Cattier|3283950911450||EUR|0|0|
Visage>Soin hydratant|44-77| Secret botanique   [Cattier] Volume - 50 mL|Crème hydratante Véritable soin douceur des peaux sèches et sensibles,la crème Secret Botanique, protège et nourrit votre peau.|20.9|http://www.lilibio.com/creme-hydratante/44-secret-botanique.html|http://www.lilibio.com/img/p/44-111-large.jpg|5.9|0|1 jour|0||0.00|Cattier|3283950911467||EUR|0|0|
Visage>Soin hydratant|153-206| Fluide matifiant anti-âge   [Elicey] Volume - 50 mL|Ce soin bioénérgisant est anti-oxydant. grâce à son complexe anti-pollution à base de fique, il purifie le teint et oxygène les cellules. Sa texture matifiante s'adapte aux peaux mixtes.|22.9|http://www.lilibio.com/creme-hydratante/153-fluide-matifiant-anti-age.html|http://www.lilibio.com/img/p/153-247-large.jpg|5.9|0|1 jour|0||0.00|Elicey|3760087900903|37.9|EUR|0|1|
Visage>Soin hydratant|158-211| Soin de jour Bio anti-âge   [Tamalys] Volume - 30 mL|Pour une hydratation optimale et une action anti-rides éfficace. Riche en polyphénols de fraise, pour lutter contre les agressions quotidiennes, ce soin non gras, s'adapte à tous types de peau. S'utilise avec le sérum confort de Tamalys pour plus d'action.|27.9|http://www.lilibio.com/creme-hydratante/158-soin-de-jour-bio-anti-age.html|http://www.lilibio.com/img/p/158-255-large.jpg|5.9|0|1 jour|0||0.00|Tamalys|3770000398014|34.9|EUR|0|1|
Visage>Soin hydratant|175-228| Fluide énergissant Bioéclat   [Natessance] Volume - 50 mL|Véritable booster de luminosité grâce à l'action énergisante et pétillante des fruits d'été.|21.9|http://www.lilibio.com/creme-hydratante/175-fluide-energissant-bioeclat.html|http://www.lilibio.com/img/p/175-274-large.jpg|5.9|0|1 jour|0||0.00|Natessance|3517360052558||EUR|0|0|
Visage>Soin hydratant|234-289| Crème hydratante fondante visage   [Florame] Volume - 30 mL|Soin quotidien et protecteur des peaux normales à mixtes.|21.9|http://www.lilibio.com/creme-hydratante/234-creme-hydratante-fondante-visage.html|http://www.lilibio.com/img/p/234-337-large.jpg|5.9|0|1 jour|0||0.00|Florame|3516170016910||EUR|0|0|
