categorie;identifiant_unique;titre;description;prix;URL_produit;URL_image;frais_de_port;disponibilite;delai_de_livraison;garantie;reference_modele;D3E;marque;EAN;prix_barre;devise;occasion;type_promotion;URL_mobile
Visage>Soin hydratant;411-456; Baume généreux visage au lait d'ânesse   [Les ânes d'autan] Volume - 50 mL;Ce soin ontueux au lait d'anesse s'adapte à toutes les peaux en toute saison. Idéal pour les peaux sensibles et réactives des petits et des grands. A base de 5% de lait cru. ;19.9;http://www.lilibio.com/creme-hydratante/411-baume-genereux-visage-au-lait-d-anesse.html;http://www.lilibio.com/img/p/411-531-large.jpg;5.9;0;1 jour;0;;0.00;Les ânes d'autan;3760160050051;;EUR;0;0;
Visage>Soin hydratant;417-461; Crème hydratante à l'aloé vera   [Naturaloé] Volume - 50 mL;Soin réhydratant longue durée.;23.9;http://www.lilibio.com/creme-hydratante/417-creme-hydratante-a-l-aloe-vera.html;http://www.lilibio.com/img/p/417-537-large.jpg;5.9;0;1 jour;0;;0.00;Naturaloé;3760101450032;;EUR;0;0;
Visage>Soin hydratant;430-473; Crème hydratante précieuse à l'Edelweiss   [Plante system] Volume - 30 mL;Beauté et rareté... pour protéger votre peau et l'hydrater durablement. Ce soin maintient efficacement l'hydratation de la peau et la protège des agressions climatiques et de la pollution. Récompensée aux visctoire de la beauté 2010-2011;16.9;http://www.lilibio.com/creme-hydratante/430-creme-htdratante-precieuse-a-l-edelweiss.html;http://www.lilibio.com/img/p/430-550-large.jpg;5.9;0;1 jour;0;;0.00;Plante system;3401396052364;;EUR;0;0;
Visage>Soin hydratant;431-474; Fluide hydratant à l'Edelweiss   [Plante system] Volume - 30 mL;Soin hydratant pour peaux normales et mixtes. Ce soin hydrate durablement et protège votre peau des agressions climatiques responsables du vieillissement accéléré.;16.9;http://www.lilibio.com/creme-hydratante/431-fluide-hydratant-a-l-edelweiss.html;http://www.lilibio.com/img/p/431-551-large.jpg;5.9;0;1 jour;0;;0.00;Plante system;3401396052425;;EUR;0;0;
Visage>Soin hydratant;432-475; Fluide confort à l'Amande [Weleda] Volume - 30 mL;Le Fluide Confort absolu de Weleda convient en soin de jour comme de nuit. Pour peaux sensibles et mixtes.;12.5;http://www.lilibio.com/creme-hydratante/432-fluide-confort-a-l-amande.html;http://www.lilibio.com/img/p/432-552-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209532666;;EUR;0;0;
Visage>Soin hydratant;433-476; Crème confort à l'Amande [Weleda] Volume - 30 mL;La Crème Confort absolu possède une texture riche, qui convient en soin de jour comme de nuit. Pour peaux sensibles et sèches.;12.5;http://www.lilibio.com/creme-hydratante/433-creme-confort-a-l-amande.html;http://www.lilibio.com/img/p/433-553-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209532659;;EUR;0;0;
Visage>Soin hydratant;436-479; Fluide hydratant à l'Iiris [Weleda] Volume - 30 mL;Le Fluide hydratant à l'Iris de Weleda convient en soin de jour comme de nuit. Pour peaux normales à mixtes.;11.4;http://www.lilibio.com/creme-hydratante/436-fluide-hydratant-a-l-iris.html;http://www.lilibio.com/img/p/436-590-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209530310;;EUR;0;0;
Visage>Soin hydratant;437-480; Crème hydratante à l'Iris [Weleda] Volume - 30 mL;Fluide et légère, cette Crème hydratante à l'Iris de WELEDA favorise  l’hydratation naturelle des couches supérieures de l’épiderme. Cette  émulsion stimule les échanges vitaux au sein du tissu cutané.;11.4;http://www.lilibio.com/creme-hydratante/437-creme-hydratante-a-l-iris.html;http://www.lilibio.com/img/p/437-557-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209530327;;EUR;0;0;
Visage>Soin hydratant;456-497; Crème hydratante légère Lift Argan   [Natessance] Volume - 50 mL;Le nouveau soin super hydratant. Un trio d'huile d'Argan, d'Aloé vera et d'Acide hyaluronique. Ce soin 3 en 1 hydrate durablement, protège et lisse le teint.;12.9;http://www.lilibio.com/creme-hydratante/456-creme-hydratante-legere-lift-argan.html;http://www.lilibio.com/img/p/456-576-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360002126;;EUR;0;0;
Visage>Soin hydratant;457-498; Crème hydratante riche Lift argan   [Natessance] Volume - 50 mL;Le nouveau soin super hydratant.;12.9;http://www.lilibio.com/creme-hydratante/457-creme-hydratante-riche-lift-argan.html;http://www.lilibio.com/img/p/457-577-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360002119;;EUR;0;0;
