product_url;designation;price;category;image_url;description;merchand_id;manufacturer_id;shipping_cost;in_stock;stock_detail;condition;upc_ean;product_type;ISBN;brand
http://www.lilibio.com/tonique/555-eau-floral-de-camomille-spray.html;Eau florale de Camomille spray Volume - 200 mL;8.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/555-685-large.jpg;Pour les peaux sèches et sensibles.;555-596;;5.9;Y;5;0;3284410016715;1;;
http://www.lilibio.com/tonique/556-eau-floral-d-hamamelis-spray.html;Eau florale d'Hamamélis spray Volume - 200 mL;8.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/556-686-large.jpg;Pour les peaux sensibles.;556-597;;5.9;Y;2;0;3284410016739;1;;
http://www.lilibio.com/tonique/557-eau-floral-de-rose-spray.html;Eau florale de Rose spray Volume - 200 mL;10.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/557-687-large.jpg;Pour les peaux délicates et exigeantes.;557-598;;5.9;Y;5;0;3284410016760;1;;
http://www.lilibio.com/tonique/558-eau-florale-de-lavande-spray.html;Eau florale de Lavande spray Volume - 200 mL;7.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/558-688-large.jpg;Eau purifiante des peaux normales à grasses.;558-599;;5.9;Y;3;0;3284410016746;1;;
http://www.lilibio.com/tonique/625-lotion-tonique-matifiante.html;Lotion tonique matifiante Peaux jeunes Volume - 200 mL;11.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/625-767-large.jpg; Bouleau, riz, menthe poivrée - Lotion astringente et matifiante des peaux jeunes.;625-667;;5.9;Y;5;0;3284410014537;1;;
http://www.lilibio.com/tonique/738-lotion-apaisante-apicosma.html;Lotion apaisante Apicosma Volume - 200 mL;9.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/738-886-large.jpg; Oranger, pollen, aloe vera -                         Peaux sensibles et délicates.;738-755;;5.9;Y;4;0;3284410014247;1;;
http://www.lilibio.com/tonique/739-lotion-hydratante-apicosma.html;Lotion hydratante Apicosma Volume - 200 mL;9.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/739-887-large.jpg; Eau de rose, miel, stévia -                         Peaux sèches.;739-756;;5.9;Y;5;0;3284410014216;1;;
http://www.lilibio.com/nettoyant/42-nuage-celeste.html;Nuage céleste Volume - 150 mL;8.9;Visage>Nettoyant;http://www.lilibio.com/img/p/42-86-large.jpg;Une mousse douce et aérienne pour un nettoyage en profondeur…;42-75;;5.9;Y;6;0;3283950911511;1;;
http://www.lilibio.com/nettoyant/229-huile-moussante-douceur-visage.html;Huile moussante douceur visage Dermastress Volume - 150 mL;15.9;Visage>Nettoyant;http://www.lilibio.com/img/p/229-332-large.jpg;Nettoie tout en preservant votre peau du vieillissement accéléré.;229-284;;5.9;Y;6;0;3516170016866;1;;
http://www.lilibio.com/nettoyant/428-mousse-purete.html;Mousse pureté Volume - 150 mL;10.9;Visage>Nettoyant;http://www.lilibio.com/img/p/428-548-large.jpg;La Mousse Pureté visage et yeux adoucit votre épiderme et équilibre votre peau efficacement tout en la nettoyant.;428-470;;5.9;Y;1;0;3578830149468;1;;
http://www.lilibio.com/nettoyant/624-gel-moussant-nettoyant.html;Gel moussant nettoyant Peaux jeunes Volume - 200 mL;12.9;Visage>Nettoyant;http://www.lilibio.com/img/p/624-766-large.jpg; Bouleau, lavande, zinc - Le geste nettoyant et purifiant des peaux jeunes.;624-666;;5.9;Y;2;0;3284410014513;1;;
